Title,Type,Sprint,Priority,Points,Labels,DependsOn,Description,AcceptanceCriteria
"Crear repositorios (frontend, backend) y políticas de ramas",Task,Sprint 1,Alta,2,"pm,devops",,"Inicializar repos de GitHub, definir ramas main/dev/feature, proteger main con PRs y reviews.","- Repos creados
- Branch protection rules activas
- README inicial con instrucciones."
Configurar GitHub Project con vistas Kanban,Task,Sprint 1,Alta,1,pm,,"Columnas: Backlog, To Do, In Progress, Testing, Done, Bugs.","- Tablero creado y compartido con el docente.
- Custom fields: Priority, Sprint, Points."
Definir CI/CD básico (GitHub Actions),Task,Sprint 1,Alta,3,devops,"Crear repositorios (frontend, backend) y políticas de ramas",Workflow para build y tests en cada PR (frontend y backend).,"- Pipelines ejecutan build y tests.
- Status check requerido para merge."
Modelado final BD y script DDL,Task,Sprint 1,Alta,5,db,,"Revisar esquema y generar DDL con claves, índices y FKs.","- DDL ejecutable sin errores
- Diagrama actualizado y versionado."
"Tablas: usuarios, roles, permisos",Task,Sprint 1,Alta,3,db,Modelado final BD y script DDL,Crear tablas de autenticación/autorización.,"- CRUD básico probado
- Índices en email/username."
"Tablas: parqueos, espacios, tipos_espacio",Task,Sprint 1,Alta,3,db,Modelado final BD y script DDL,Inventario de espacios por parqueo.,"- Relaciones parqueo->espacio OK
- Unique (parqueo_id, nro_espacio)."
"Tablas: reservas, estados_reserva",Task,Sprint 1,Alta,3,db,Modelado final BD y script DDL,"Gestionar reservas y su estado (pendiente, pagada, vencida, cancelada).","- FKs a usuarios, espacios
- Índices por fecha/estado."
"Tablas: pagos (online/físico), pasarelas",Task,Sprint 2,Alta,3,db,Modelado final BD y script DDL,"Registrar pagos y método (online, efectivo).","- FKs a reservas
- Campos monto, moneda, metodo, referencia."
"Tablas: control_tiempos, multas, reglas",Task,Sprint 2,Alta,3,db,Modelado final BD y script DDL,"Control de tiempos, reglas y multas por incumplimiento.","- Trigger/servicio para cálculo de multas
- Índices por usuario/fecha."
"Tablas: notificaciones, mensajes_chat",Task,Sprint 3,Media,2,db,Modelado final BD y script DDL,Tablas para notificaciones y chat con seguridad.,"- FKs a usuarios/reservas
- Índices por recibido_no_leído."
"Vistas y SPs para reportes (ocupación, ingresos, multas)",Task,Sprint 3,Media,3,db,Modelado final BD y script DDL,Crear vistas y procedimientos para KPIs.,- Vistas ejecutan rápido (<1s en dataset semilla).
Bootstrap backend Node/Express con TypeScript,Task,Sprint 1,Alta,3,backend,,"Proyecto base con estructura modular, ESLint/Prettier, logger.","- Proyecto compila y corre
- Scripts npm (`dev`, `build`, `test`)."
Conexión a MySQL y ORM (Prisma/Sequelize),Task,Sprint 1,Alta,3,"backend,db",Bootstrap backend Node/Express con TypeScript,"Configurar pool, migraciones y modelos.","- Migraciones aplicadas en CI
- Variables en .env segura."
Auth: registro/login con JWT + hashing (bcrypt),Story,Sprint 1,Alta,5,"backend,security",,"Como conductor, quiero registrarme e iniciar sesión para usar la plataforma.","- Registro con validaciones
- Login devuelve JWT
- Contraseñas hasheadas
- Tests unitarios."
"Gestión de roles (admin, seguridad, conductor)",Story,Sprint 1,Alta,3,"backend,security",Auth: registro/login con JWT + hashing (bcrypt),"Como admin, quiero asignar roles para controlar permisos.","- Middleware de autorización
- Endpoints protegidos."
CRUD Parqueos y Espacios,Story,Sprint 1,Alta,5,backend,,"Como admin, quiero gestionar parqueos y espacios para mantener la disponibilidad.","- Endpoints REST con validación
- Paginación/búsqueda.
- Tests."
Disponibilidad en tiempo real (consulta espacios),Story,Sprint 1,Alta,3,backend,CRUD Parqueos y Espacios,"Como conductor, quiero ver disponibilidad actual para reservar.",- Endpoint que devuelve ocupación por parqueo y tipo.
Crear reserva,Story,Sprint 1,Muy Alta,5,backend,,"Como conductor, quiero reservar un espacio disponible.","- Endpoint POST /reservas
- Reglas: un espacio por usuario, evita doble booking
- Tests."
Cancelar reserva,Story,Sprint 1,Media,2,backend,,"Como conductor, quiero cancelar mi reserva en ventana permitida.","- Estado pasa a cancelada
- Reembolso si aplica."
Registro de pago físico (guardia),Story,Sprint 1,Alta,3,backend,,"Como guardia, quiero registrar pago en efectivo a la llegada.","- Endpoint pago_fisico
- Vincula con reserva.
- Auditoría."
Integrar pasarela de pago (sandbox),Story,Sprint 2,Alta,5,"backend,security",Crear reserva,"Como conductor, quiero pagar en línea mi reserva.","- Integración sandbox (ej. MercadoPago/Stripe/QR)
- Webhook de confirmación
- Manejo de estados."
